Device,Name,ObjectType,Instance
1210100,AV_0,2,0
1210100,BV_100,5,100
1210100,BV_107,5,107
1210100,BV_110,5,110
1210100,BV_117,5,117
1210101,AI_2,0,2
1210101,AI_10,0,10
1210101,AI_1,1,1
1210101,AV_0,2,0
1210101,AV_1,2,1
1210101,AV_4,2,4
1210101,AV_9,2,9
1210101,AV_65,2,65
1210101,AV_67,2,67
1210101,AV_68,2,68
1210101,AV_69,2,69
1210101,AV_70,2,70
1210101,AV_89,2,89
1210101,AV_90,2,90
1210101,AV_99,2,99
1210101,AV_100,2,100
1210101,AV_101,2,101
1210101,AV_103,2,103
1210101,BO_0,4,0
1210101,BO_1,4,1
1210101,BV_67,5,67
1210102,AI_2,0,2
1210102,AI_10,0,10
1210102,AI_1,1,1
1210102,AV_0,2,0
1210102,AV_1,2,1
1210102,AV_4,2,4
1210102,AV_9,2,9
1210102,AV_65,2,65
1210102,AV_67,2,67
1210102,AV_68,2,68
1210102,AV_69,2,69
1210102,AV_70,2,70
1210102,AV_89,2,89
1210102,AV_90,2,90
1210102,AV_99,2,99
1210102,AV_100,2,100
1210102,AV_101,2,101
1210102,AV_103,2,103
1210102,BO_0,4,0
1210102,BO_1,4,1
1210102,BV_67,5,67
1210103,AI_2,0,2
1210103,AI_10,0,10
1210103,AI_1,1,1
1210103,AV_0,2,0
1210103,AV_1,2,1
1210103,AV_4,2,4
1210103,AV_9,2,9
1210103,AV_65,2,65
1210103,AV_67,2,67
1210103,AV_68,2,68
1210103,AV_69,2,69
1210103,AV_70,2,70
1210103,AV_89,2,89
1210103,AV_90,2,90
1210103,AV_99,2,99
1210103,AV_100,2,100
1210103,AV_101,2,101
1210103,AV_103,2,103
1210103,BO_0,4,0
1210103,BO_1,4,1
1210103,BV_67,5,67
1210104,AI_2,0,2
1210104,AI_10,0,10
1210104,AI_1,1,1
1210104,AV_0,2,0
1210104,AV_1,2,1
1210104,AV_4,2,4
1210104,AV_9,2,9
1210104,AV_65,2,65
1210104,AV_67,2,67
1210104,AV_68,2,68
1210104,AV_69,2,69
1210104,AV_70,2,70
1210104,AV_89,2,89
1210104,AV_90,2,90
1210104,AV_99,2,99
1210104,AV_100,2,100
1210104,AV_101,2,101
1210104,AV_103,2,103
1210104,BO_0,4,0
1210104,BO_1,4,1
1210104,BV_67,5,67
1210105,AI_2,0,2
1210105,AI_10,0,10
1210105,AI_1,1,1
1210105,AV_0,2,0
1210105,AV_1,2,1
1210105,AV_4,2,4
1210105,AV_9,2,9
1210105,AV_65,2,65
1210105,AV_67,2,67
1210105,AV_68,2,68
1210105,AV_69,2,69
1210105,AV_70,2,70
1210105,AV_89,2,89
1210105,AV_90,2,90
1210105,AV_99,2,99
1210105,AV_100,2,100
1210105,AV_101,2,101
1210105,AV_103,2,103
1210105,BO_0,4,0
1210105,BO_1,4,1
1210105,BV_67,5,67
1210106,AI_2,0,2
1210106,AI_10,0,10
1210106,AI_1,1,1
1210106,AV_0,2,0
1210106,AV_1,2,1
1210106,AV_4,2,4
1210106,AV_9,2,9
1210106,AV_65,2,65
1210106,AV_67,2,67
1210106,AV_68,2,68
